,Date,AveragePrice,Total Sold Volume,type,year,region
213,2015-11-22,1.07,466759.99,conventional,2015,Boston
214,2015-11-15,1.05,513738.98,conventional,2015,Boston
215,2015-11-08,1.04,641759.57,conventional,2015,Boston
216,2015-11-01,1.06,553096.84,conventional,2015,Boston
217,2015-10-25,1.02,534249.47,conventional,2015,Boston
218,2015-10-18,0.94,725296.29,conventional,2015,Boston
219,2015-10-11,1.14,485706.68,conventional,2015,Boston
220,2015-10-04,1.07,536479.42,conventional,2015,Boston
221,2015-09-27,1.07,553307.04,conventional,2015,Boston
222,2015-09-20,1.15,498640.23,conventional,2015,Boston
223,2015-09-13,1.03,655682.95,conventional,2015,Boston
224,2015-09-06,1.11,577774.74,conventional,2015,Boston
225,2015-08-30,1.13,526664.87,conventional,2015,Boston
226,2015-08-23,1.07,589471.32,conventional,2015,Boston
227,2015-08-16,1.15,565795.06,conventional,2015,Boston
228,2015-08-09,1.07,690517.19,conventional,2015,Boston
229,2015-08-02,1.17,571994.5,conventional,2015,Boston
230,2015-07-26,1.28,500233.69,conventional,2015,Boston
231,2015-07-19,1.18,597168.12,conventional,2015,Boston
232,2015-07-12,1.14,634515.74,conventional,2015,Boston
233,2015-07-05,1.27,582909.73,conventional,2015,Boston
234,2015-06-28,1.25,560494.92,conventional,2015,Boston
235,2015-06-21,1.24,543504.66,conventional,2015,Boston
236,2015-06-14,1.08,684346.48,conventional,2015,Boston
237,2015-06-07,1.25,562542.86,conventional,2015,Boston
238,2015-05-31,1.26,565160.95,conventional,2015,Boston
239,2015-05-24,1.14,633521.98,conventional,2015,Boston
240,2015-05-17,1.26,534488.54,conventional,2015,Boston
241,2015-05-10,1.14,625558.14,conventional,2015,Boston
242,2015-05-03,1.17,552368.94,conventional,2015,Boston
243,2015-04-26,1.28,465911.37,conventional,2015,Boston
244,2015-04-19,1.15,504619.83,conventional,2015,Boston
245,2015-04-12,1.26,408485.16,conventional,2015,Boston
246,2015-04-05,1.27,449818.01,conventional,2015,Boston
247,2015-03-29,1.19,453631.25,conventional,2015,Boston
248,2015-03-22,1.18,453173.22,conventional,2015,Boston
249,2015-03-15,1.25,417750.36,conventional,2015,Boston
250,2015-03-08,1.17,408403.96,conventional,2015,Boston
251,2015-03-01,1.11,485736.1,conventional,2015,Boston
252,2015-02-22,1.23,355432.28,conventional,2015,Boston
253,2015-02-15,1.2,399883.99,conventional,2015,Boston
254,2015-02-08,1.04,609985.34,conventional,2015,Boston
255,2015-02-01,1.22,490022.14,conventional,2015,Boston
256,2015-01-25,1.17,409343.56,conventional,2015,Boston
257,2015-01-18,1.23,401331.33,conventional,2015,Boston
258,2015-01-11,1.1,437771.89,conventional,2015,Boston
259,2015-01-04,1.02,491738.0,conventional,2015,Boston
260,2015-12-27,1.35,96233.08,conventional,2015,BuffaloRochester
261,2015-12-20,1.37,90867.51,conventional,2015,BuffaloRochester
262,2015-12-13,1.35,98473.23,conventional,2015,BuffaloRochester
263,2015-12-06,1.23,108457.82,conventional,2015,BuffaloRochester
264,2015-11-29,1.39,79973.14,conventional,2015,BuffaloRochester
265,2015-11-22,1.4,90242.31,conventional,2015,BuffaloRochester
266,2015-11-15,1.36,99703.72,conventional,2015,BuffaloRochester
267,2015-11-08,1.3,111038.95,conventional,2015,BuffaloRochester
268,2015-11-01,1.23,118541.11,conventional,2015,BuffaloRochester
269,2015-10-25,1.36,99554.55,conventional,2015,BuffaloRochester
270,2015-10-18,1.29,106083.75,conventional,2015,BuffaloRochester
271,2015-10-11,1.3,109153.84,conventional,2015,BuffaloRochester
272,2015-10-04,1.33,98900.48,conventional,2015,BuffaloRochester
273,2015-09-27,1.31,90745.72,conventional,2015,BuffaloRochester
274,2015-09-20,1.54,60624.47,conventional,2015,BuffaloRochester
275,2015-09-13,1.59,73043.2,conventional,2015,BuffaloRochester
276,2015-09-06,1.56,76139.58,conventional,2015,BuffaloRochester
277,2015-08-30,1.38,83731.42,conventional,2015,BuffaloRochester
278,2015-08-23,1.49,68953.29,conventional,2015,BuffaloRochester
279,2015-08-16,1.5,69798.09,conventional,2015,BuffaloRochester
280,2015-08-09,1.47,81830.13,conventional,2015,BuffaloRochester
281,2015-08-02,1.47,78162.92,conventional,2015,BuffaloRochester
282,2015-07-26,1.39,91825.07,conventional,2015,BuffaloRochester
283,2015-07-19,1.36,128846.15,conventional,2015,BuffaloRochester
284,2015-07-12,1.45,127351.46,conventional,2015,BuffaloRochester
285,2015-07-05,1.47,140413.9,conventional,2015,BuffaloRochester
286,2015-06-28,1.36,137246.7,conventional,2015,BuffaloRochester
287,2015-06-21,1.5,108655.36,conventional,2015,BuffaloRochester
288,2015-06-14,1.34,149376.79,conventional,2015,BuffaloRochester
289,2015-06-07,1.38,130908.11,conventional,2015,BuffaloRochester
290,2015-05-31,1.4,130841.08,conventional,2015,BuffaloRochester
291,2015-05-24,1.43,121942.61,conventional,2015,BuffaloRochester
292,2015-05-17,1.35,137050.23,conventional,2015,BuffaloRochester
293,2015-05-10,1.33,170547.18,conventional,2015,BuffaloRochester
294,2015-05-03,1.42,136771.79,conventional,2015,BuffaloRochester
295,2015-04-26,1.41,136964.3,conventional,2015,BuffaloRochester
296,2015-04-19,1.42,139612.52,conventional,2015,BuffaloRochester
297,2015-04-12,1.42,118172.53,conventional,2015,BuffaloRochester
298,2015-04-05,1.44,124145.62,conventional,2015,BuffaloRochester
299,2015-03-29,1.39,119890.65,conventional,2015,BuffaloRochester
300,2015-03-22,1.4,119902.96,conventional,2015,BuffaloRochester
301,2015-03-15,1.47,103413.11,conventional,2015,BuffaloRochester
302,2015-03-08,1.35,125724.96,conventional,2015,BuffaloRochester
303,2015-03-01,1.43,112363.86,conventional,2015,BuffaloRochester
304,2015-02-22,1.41,109546.92,conventional,2015,BuffaloRochester
305,2015-02-15,1.44,100207.14,conventional,2015,BuffaloRochester
306,2015-02-08,1.36,132760.1,conventional,2015,BuffaloRochester
307,2015-02-01,1.33,153920.35,conventional,2015,BuffaloRochester
308,2015-01-25,1.5,114052.94,conventional,2015,BuffaloRochester
309,2015-01-18,1.52,107040.29,conventional,2015,BuffaloRochester
310,2015-01-11,1.54,106221.32,conventional,2015,BuffaloRochester
311,2015-01-04,1.4,116253.44,conventional,2015,BuffaloRochester
312,2015-12-27,0.9,5040365.47,conventional,2015,California
313,2015-12-20,0.94,4695737.21,conventional,2015,California
314,2015-12-13,0.87,5259354.3,conventional,2015,California
315,2015-12-06,0.78,5775536.27,conventional,2015,California
316,2015-11-29,0.91,4575710.62,conventional,2015,California
317,2015-11-22,0.92,4804278.16,conventional,2015,California
318,2015-11-15,0.83,5755190.69,conventional,2015,California
319,2015-11-08,0.98,5148983.51,conventional,2015,California
320,2015-11-01,0.95,5830427.96,conventional,2015,California
321,2015-10-25,1.12,4592461.81,conventional,2015,California
322,2015-10-18,1.07,4999031.79,conventional,2015,California
323,2015-10-11,1.08,5063309.38,conventional,2015,California
324,2015-10-04,1.02,4943781.29,conventional,2015,California
325,2015-09-27,1.04,5216784.63,conventional,2015,California
326,2015-09-20,1.14,4759791.13,conventional,2015,California
327,2015-09-13,1.13,5106508.12,conventional,2015,California
328,2015-09-06,1.09,5806392.78,conventional,2015,California
329,2015-08-30,1.08,5647385.15,conventional,2015,California
330,2015-08-23,1.18,5193221.0,conventional,2015,California
331,2015-08-16,1.11,5616434.08,conventional,2015,California
332,2015-08-09,1.1,6232081.27,conventional,2015,California
333,2015-08-02,1.16,5428238.87,conventional,2015,California
334,2015-07-26,1.13,5557616.27,conventional,2015,California
335,2015-07-19,1.18,5225200.52,conventional,2015,California
336,2015-07-12,1.13,5451636.92,conventional,2015,California
337,2015-07-05,1.12,6718011.83,conventional,2015,California
338,2015-06-28,1.1,5641742.02,conventional,2015,California
339,2015-06-21,1.07,5952597.29,conventional,2015,California
340,2015-06-14,0.97,6741662.31,conventional,2015,California
341,2015-06-07,0.98,6374842.9,conventional,2015,California
342,2015-05-31,0.98,6236903.31,conventional,2015,California
343,2015-05-24,1.1,5621713.64,conventional,2015,California
344,2015-05-17,1.08,5289138.5,conventional,2015,California
345,2015-05-10,0.93,6650357.96,conventional,2015,California
346,2015-05-03,0.88,8567534.49,conventional,2015,California
347,2015-04-26,1.15,4923565.04,conventional,2015,California
348,2015-04-19,1.05,5871080.81,conventional,2015,California
349,2015-04-12,1.06,5636644.51,conventional,2015,California
350,2015-04-05,1.12,5467155.55,conventional,2015,California
351,2015-03-29,1.1,5341821.67,conventional,2015,California
352,2015-03-22,1.06,5571812.77,conventional,2015,California
353,2015-03-15,1.06,5557163.11,conventional,2015,California
354,2015-03-08,0.96,5990243.89,conventional,2015,California
355,2015-03-01,0.84,6700134.25,conventional,2015,California
356,2015-02-22,0.96,5951871.32,conventional,2015,California
357,2015-02-15,0.96,5699944.93,conventional,2015,California
358,2015-02-08,0.91,5871224.58,conventional,2015,California
359,2015-02-01,0.85,9032180.67,conventional,2015,California
360,2015-01-25,1.06,4929884.26,conventional,2015,California
361,2015-01-18,1.02,5570915.26,conventional,2015,California
362,2015-01-11,0.92,6024932.34,conventional,2015,California
363,2015-01-04,0.93,5777334.9,conventional,2015,California
364,2015-12-27,0.96,156698.24,conventional,2015,Charlotte
365,2015-12-20,0.98,139917.89,conventional,2015,Charlotte
366,2015-12-13,0.95,157146.19,conventional,2015,Charlotte
367,2015-12-06,0.99,156114.08,conventional,2015,Charlotte
368,2015-11-29,0.95,138858.86,conventional,2015,Charlotte
369,2015-11-22,1.0,133618.33,conventional,2015,Charlotte
370,2015-11-15,1.01,169281.16,conventional,2015,Charlotte
371,2015-11-08,1.03,164322.04,conventional,2015,Charlotte
372,2015-11-01,1.11,171793.87,conventional,2015,Charlotte
373,2015-10-25,1.27,140920.61,conventional,2015,Charlotte
374,2015-10-18,1.26,156565.98,conventional,2015,Charlotte
375,2015-10-11,1.14,167396.56,conventional,2015,Charlotte
376,2015-10-04,1.22,146737.74,conventional,2015,Charlotte
377,2015-09-27,1.09,168780.22,conventional,2015,Charlotte
378,2015-09-20,1.2,161443.98,conventional,2015,Charlotte
379,2015-09-13,1.19,171077.53,conventional,2015,Charlotte
380,2015-09-06,1.01,227728.43,conventional,2015,Charlotte
381,2015-08-30,1.2,179026.88,conventional,2015,Charlotte
382,2015-08-23,1.15,203298.37,conventional,2015,Charlotte
383,2015-08-16,1.24,178525.52,conventional,2015,Charlotte
384,2015-08-09,1.21,173059.32,conventional,2015,Charlotte
385,2015-08-02,1.24,179321.9,conventional,2015,Charlotte
386,2015-07-26,1.23,173896.82,conventional,2015,Charlotte
387,2015-07-19,1.19,187575.03,conventional,2015,Charlotte
388,2015-07-12,1.18,182856.82,conventional,2015,Charlotte
389,2015-07-05,1.18,216118.9,conventional,2015,Charlotte
390,2015-06-28,1.17,193654.01,conventional,2015,Charlotte
391,2015-06-21,1.17,201173.1,conventional,2015,Charlotte
392,2015-06-14,1.15,207093.88,conventional,2015,Charlotte
393,2015-06-07,1.15,199980.3,conventional,2015,Charlotte
394,2015-05-31,1.19,194630.86,conventional,2015,Charlotte
395,2015-05-24,1.2,212527.72,conventional,2015,Charlotte
396,2015-05-17,1.21,190799.99,conventional,2015,Charlotte
397,2015-05-10,1.19,192767.09,conventional,2015,Charlotte
398,2015-05-03,1.0,261492.2,conventional,2015,Charlotte
399,2015-04-26,1.2,182141.55,conventional,2015,Charlotte
400,2015-04-19,1.18,180944.22,conventional,2015,Charlotte
401,2015-04-12,1.17,204005.24,conventional,2015,Charlotte
402,2015-04-05,1.19,177919.28,conventional,2015,Charlotte
403,2015-03-29,1.23,178788.49,conventional,2015,Charlotte
404,2015-03-22,1.19,182876.15,conventional,2015,Charlotte
405,2015-03-15,1.19,183944.05,conventional,2015,Charlotte
406,2015-03-08,1.25,159386.69,conventional,2015,Charlotte
407,2015-03-01,1.18,176146.34,conventional,2015,Charlotte
408,2015-02-22,1.08,201741.43,conventional,2015,Charlotte
409,2015-02-15,1.22,156798.51,conventional,2015,Charlotte
410,2015-02-08,1.17,150139.38,conventional,2015,Charlotte
411,2015-02-01,0.98,254009.7,conventional,2015,Charlotte
412,2015-01-25,1.18,167270.13,conventional,2015,Charlotte
413,2015-01-18,1.25,152671.15,conventional,2015,Charlotte
414,2015-01-11,1.26,159942.68,conventional,2015,Charlotte
415,2015-01-04,1.19,166006.29,conventional,2015,Charlotte
416,2015-12-27,0.93,661137.13,conventional,2015,Chicago
417,2015-12-20,0.91,690669.34,conventional,2015,Chicago
418,2015-12-13,1.07,668601.5,conventional,2015,Chicago
419,2015-12-06,1.14,664020.49,conventional,2015,Chicago
420,2015-11-29,1.11,602481.22,conventional,2015,Chicago
421,2015-11-22,0.94,751897.89,conventional,2015,Chicago
422,2015-11-15,1.17,641881.96,conventional,2015,Chicago
423,2015-11-08,1.01,711146.61,conventional,2015,Chicago
424,2015-11-01,1.0,807041.46,conventional,2015,Chicago
425,2015-10-25,1.12,687650.27,conventional,2015,Chicago
426,2015-10-18,1.15,690302.58,conventional,2015,Chicago
427,2015-10-11,1.08,708914.17,conventional,2015,Chicago
428,2015-10-04,1.18,675172.63,conventional,2015,Chicago
429,2015-09-27,1.15,720501.55,conventional,2015,Chicago
430,2015-09-20,1.19,729117.42,conventional,2015,Chicago
431,2015-09-13,1.19,775671.49,conventional,2015,Chicago
432,2015-09-06,1.11,808677.78,conventional,2015,Chicago
433,2015-08-30,1.12,773773.53,conventional,2015,Chicago
434,2015-08-23,1.2,751850.01,conventional,2015,Chicago
435,2015-08-16,1.16,817690.89,conventional,2015,Chicago
436,2015-08-09,1.25,731125.01,conventional,2015,Chicago
437,2015-08-02,1.27,761027.42,conventional,2015,Chicago
438,2015-07-26,1.12,791332.34,conventional,2015,Chicago
439,2015-07-19,1.24,797060.27,conventional,2015,Chicago
440,2015-07-12,1.26,772151.2,conventional,2015,Chicago
441,2015-07-05,1.24,937317.45,conventional,2015,Chicago
442,2015-06-28,1.21,786250.22,conventional,2015,Chicago
443,2015-06-21,1.24,804902.52,conventional,2015,Chicago
444,2015-06-14,1.21,868197.41,conventional,2015,Chicago
445,2015-06-07,1.24,824216.23,conventional,2015,Chicago
446,2015-05-31,1.26,803571.87,conventional,2015,Chicago
447,2015-05-24,1.23,887105.04,conventional,2015,Chicago
448,2015-05-17,1.23,817870.17,conventional,2015,Chicago
449,2015-05-10,1.23,835938.63,conventional,2015,Chicago
450,2015-05-03,1.04,978376.13,conventional,2015,Chicago
451,2015-04-26,1.24,779868.01,conventional,2015,Chicago
452,2015-04-19,1.24,832529.06,conventional,2015,Chicago
453,2015-04-12,1.24,710718.98,conventional,2015,Chicago
